country,region,years_observed,first_test_year,last_test_year,actual_conflict_years,predicted_conflict_years,previous_conflict_years,mean_predicted_probability,max_predicted_probability,actual_conflict_rate,predicted_conflict_rate
Venezuela,Americas,7,2017,2023,7,7,7,0.9358345453711712,0.9893615996642136,1.0,1.0
Bangladesh,Asia,7,2017,2023,7,7,7,0.9711534908889125,0.988316266335188,1.0,1.0
Lebanon,Middle East,7,2017,2023,4,4,4,0.6710155303812613,0.9871230624390648,0.5714285714285714,0.5714285714285714
Angola,Africa,7,2017,2023,7,7,7,0.9566356212856763,0.9836486959241042,1.0,1.0
Tunisia,Africa,7,2017,2023,6,7,7,0.9434435961295055,0.981857853058978,0.8571428571428571,1.0
Algeria,Africa,7,2017,2023,7,7,7,0.9378245481308447,0.97995361008372,1.0,1.0
Indonesia,Asia,7,2017,2023,7,7,7,0.9494209867049977,0.9678379536014926,1.0,1.0
Rwanda,Africa,7,2017,2023,5,5,5,0.7653232881577743,0.9657320241118492,0.7142857142857143,0.7142857142857143
Tanzania,Africa,7,2017,2023,6,7,6,0.8311018357935037,0.9544238623762488,0.8571428571428571,1.0
Uganda,Africa,7,2017,2023,6,7,6,0.8220955883801887,0.9518732082863386,0.8571428571428571,1.0
Thailand,Asia,7,2017,2023,7,7,7,0.9327951517641878,0.9432014351571324,1.0,1.0
Saudi Arabia,Middle East,7,2017,2023,5,6,6,0.7582235263013413,0.9277383215050254,0.7142857142857143,0.8571428571428571
Peru,Americas,7,2017,2023,5,6,6,0.7879519281234011,0.9240206983651856,0.7142857142857143,0.8571428571428571
Azerbaijan,Europe,7,2017,2023,6,7,7,0.8993295243103666,0.9233970435244642,0.8571428571428571,1.0
Honduras,Americas,7,2017,2023,7,7,6,0.8364893053708995,0.9177651903244222,1.0,1.0
Benin,Africa,7,2017,2023,6,4,5,0.5332427965818936,0.9167107753520846,0.8571428571428571,0.5714285714285714
Congo,Africa,7,2017,2023,3,5,4,0.6854716089893858,0.9143362965101176,0.42857142857142855,0.7142857142857143
Papua New Guinea,Asia,7,2017,2023,5,4,4,0.511305332642118,0.897487804487716,0.7142857142857143,0.5714285714285714
South Africa,Africa,7,2017,2023,7,6,6,0.7183495869448213,0.878473668537503,1.0,0.8571428571428571
China,Asia,7,2017,2023,1,3,2,0.5730333082310128,0.8732924654241678,0.14285714285714285,0.42857142857142855
Guinea,Africa,7,2017,2023,3,3,3,0.46655068789601195,0.8671017807832204,0.42857142857142855,0.42857142857142855
Togo,Africa,7,2017,2023,4,2,3,0.3969918978553535,0.8660144818575386,0.5714285714285714,0.2857142857142857
Armenia,Europe,7,2017,2023,6,6,6,0.738138654489462,0.8643737506188806,0.8571428571428571,0.8571428571428571
Senegal,Africa,7,2017,2023,3,3,3,0.4760438447291773,0.8281374955634707,0.42857142857142855,0.42857142857142855
Guatemala,Americas,7,2017,2023,4,3,3,0.44356100682902966,0.8080086822399376,0.5714285714285714,0.42857142857142855
Morocco,Africa,7,2017,2023,5,4,4,0.4516723445922553,0.8042397495796229,0.7142857142857143,0.5714285714285714
Tajikistan,Asia,7,2017,2023,4,2,4,0.4404293573710762,0.8022320236154525,0.5714285714285714,0.2857142857142857
France,Europe,7,2017,2023,3,2,3,0.36910204829585336,0.7897249259926385,0.42857142857142855,0.2857142857142857
Madagascar (Malagasy),Africa,7,2017,2023,2,3,3,0.4680777286664811,0.7563017463358982,0.2857142857142857,0.42857142857142855
Liberia,Africa,7,2017,2023,3,1,2,0.32182671927365136,0.7421593741623604,0.42857142857142855,0.14285714285714285
Zimbabwe (Rhodesia),Africa,7,2017,2023,3,2,3,0.3936835942491726,0.7404087020461227,0.42857142857142855,0.2857142857142857
Kingdom of eSwatini (Swaziland),Africa,7,2017,2023,5,4,5,0.44144103053055794,0.726969502589635,0.7142857142857143,0.5714285714285714
