ucdp_country,ucdp_normalized,world_bank_country_code,world_bank_country_name,world_bank_normalized,similarity_score,match_type,review_status,include_in_merge,review_notes
Marshall Islands,marshall islands,MHL,Marshall Islands,marshall islands,1.0,exact_normalized,auto_accepted,True,
Mauritania,mauritania,MRT,Mauritania,mauritania,1.0,exact_normalized,auto_accepted,True,
Mauritius,mauritius,MUS,Mauritius,mauritius,1.0,exact_normalized,auto_accepted,True,
Mexico,mexico,MEX,Mexico,mexico,1.0,exact_normalized,auto_accepted,True,
Moldova,moldova,MDA,Moldova,moldova,1.0,exact_normalized,auto_accepted,True,
Monaco,monaco,MCO,Monaco,monaco,1.0,exact_normalized,auto_accepted,True,
Mongolia,mongolia,MNG,Mongolia,mongolia,1.0,exact_normalized,auto_accepted,True,
Montenegro,montenegro,MNE,Montenegro,montenegro,1.0,exact_normalized,auto_accepted,True,
Morocco,morocco,MAR,Morocco,morocco,1.0,exact_normalized,auto_accepted,True,
Mozambique,mozambique,MOZ,Mozambique,mozambique,1.0,exact_normalized,auto_accepted,True,
Myanmar (Burma),myanmar (burma),MMR,Myanmar,myanmar,0.6364,needs_manual_review,manual_review,True,Manual country mapping reviewed.
Namibia,namibia,NAM,Namibia,namibia,1.0,exact_normalized,auto_accepted,True,
Nauru,nauru,NRU,Nauru,nauru,1.0,exact_normalized,auto_accepted,True,
Nepal,nepal,NPL,Nepal,nepal,1.0,exact_normalized,auto_accepted,True,
Netherlands,netherlands,NLD,Netherlands,netherlands,1.0,exact_normalized,auto_accepted,True,
New Zealand,new zealand,NZL,New Zealand,new zealand,1.0,exact_normalized,auto_accepted,True,
Nicaragua,nicaragua,NIC,Nicaragua,nicaragua,1.0,exact_normalized,auto_accepted,True,
Niger,niger,NER,Niger,niger,1.0,exact_normalized,auto_accepted,True,
Nigeria,nigeria,NGA,Nigeria,nigeria,1.0,exact_normalized,auto_accepted,True,
North Korea,north korea,PRK,"Korea, Dem. People's Rep.",north macedonia,0.6154,needs_manual_review,manual_review,True,Manual country mapping reviewed.
North Macedonia,north macedonia,MKD,North Macedonia,north macedonia,1.0,exact_normalized,auto_accepted,True,
Norway,norway,NOR,Norway,norway,1.0,exact_normalized,auto_accepted,True,
Oman,oman,OMN,Oman,oman,1.0,exact_normalized,auto_accepted,True,
Pakistan,pakistan,PAK,Pakistan,pakistan,1.0,exact_normalized,auto_accepted,True,
